Tone,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10
1,20.512,20.512,20.512,328.19,328.19,328.19,328.19,307.67,307.67,287.16
1,22.273,0,22.273,22.273,334.09,334.09,311.82,289.55,22.273,22.273
1,20.512,20.512,20.512,348.7,287.16,266.65,328.19,287.16,246.14,20.512
1,22.5,22.5,315,337.5,292.5,270,270,292.5,247.5,22.5
1,19.865,19.865,317.84,317.84,317.84,278.11,278.11,317.84,278.11,19.865
1,24.775,24.775,322.08,346.85,346.85,346.85,346.85,346.85,346.85,297.3
1,0,0,0,261.78,221.51,221.51,221.51,281.92,281.92,281.92
1,312.21,331.73,331.73,312.21,331.73,312.21,19.513,0,0,0
1,272.22,326.67,326.67,326.67,326.67,326.67,326.67,326.67,299.44,27.222
1,288.75,315,315,315,288.75,288.75,262.5,315,236.25,26.25
1,22.05,22.05,308.7,308.7,308.7,308.7,286.65,264.6,286.65,242.55
1,19.258,19.258,308.12,346.64,19.258,19.258,19.258,19.258,19.258,19.258
1,23.583,23.583,282.99,306.58,306.58,330.16,306.58,23.583,23.583,23.583
1,22.161,243.77,332.41,288.09,288.09,288.09,310.25,221.61,22.161,22.161
1,21.832,240.15,283.81,327.48,305.64,283.81,283.81,261.98,261.98,327.48
1,20.323,20.323,20.323,20.323,20.323,20.323,20.323,20.323,20.323,20.323
1,23.089,0,300.16,300.16,300.16,300.16,300.16,300.16,300.16,23.089
1,20.802,20.802,20.802,312.03,312.03,291.23,291.23,291.23,249.62,20.802
1,20.323,20.323,0,284.52,284.52,264.19,264.19,243.87,243.87,243.87
1,0,19.955,19.955,19.955,319.28,299.32,19.955,19.955,19.955,19.955
1,21.304,21.304,298.26,319.57,319.57,319.57,298.26,319.57,21.304,21.304
1,19.342,19.342,19.342,270.79,290.13,270.79,290.13,270.79,270.79,19.342
1,22.161,0,265.93,265.93,288.09,332.41,265.93,332.41,265.93,22.161
1,19.6,0,294,294,274.4,274.4,254.8,254.8,274.4,19.6
1,18.608,18.608,18.608,18.608,279.11,241.9,260.51,260.51,279.11,260.51
